Number,"Post ID","Product ID",Affiliate,"Product Title",Brand,"Image URL",Description,Price,RRP,Link,Status
"1 of 5914 (0.02%)",12653,5678_3179953883,awin,"ASOS PETITE Exclusive Premium Aztec Embellished Midi Dress - Multi",ASOS,http://images.productserve.com/preview/8/5678/83/38/3179953883.jpg,40.00,120.00,http://www.awin1.com/pclick.php?p=3179953883&a=99908&m=5678,Updated
"2 of 5914 (0.03%)",12630,903000061250,linkshare,"Floral Embroidered Dress",,,,,,"Not Found"
"3 of 5914 (0.05%)",12629,903000060777,linkshare,"Crepe Shift Dress",,,,,,"Not Found"
"4 of 5914 (0.07%)",12625,5678_3246277183,awin,"ASOS PETITE Blouse - Rust",ASOS,http://images.productserve.com/preview/8/5678/83/71/3246277183.jpg,28.00,28.00,http://www.awin1.com/pclick.php?p=3246277183&a=99908&m=5678,Updated
"5 of 5914 (0.08%)",12623,3179954503,awin,"Asos Petite Pleated Midi Culottes – Chartreuse",,,,,,"Not Found"
"6 of 5914 (0.10%)",12622,1496_3212004497,awin,"Printed Crêpe Blouse, Petite Length","La Redoute",http://images.productserve.com/preview/6/1496/97/44/3212004497.jpg,45.00,45.00,http://www.awin1.com/pclick.php?p=3212004497&a=99908&m=1496,Updated
"7 of 5914 (0.12%)",12621,3100_3184867739,awin,"Radley Millibank medium tote bag, Tan","House of Fraser",http://images.productserve.com/preview/0/3100/39/77/3184867739.jpg,125.30,179.00,http://www.awin1.com/pclick.php?p=3184867739&a=99908&m=3100,Updated
"8 of 5914 (0.14%)",12620,3184867727,awin,"Radley De Beauvoir Pink Large Tote Bag, Pink",,,,,,"Not Found"
"9 of 5914 (0.15%)",12619,3100_3184867731,awin,"Radley De beauvoir navy large tote bag, Navy","House of Fraser",http://images.productserve.com/preview/0/3100/31/77/3184867731.jpg,146.30,209.00,http://www.awin1.com/pclick.php?p=3184867731&a=99908&m=3100,Updated
"10 of 5914 (0.17%)",12618,3100_3182895689,awin,"Radley De beauvoir grey large tote bag, Grey","House of Fraser",http://images.productserve.com/preview/0/3100/89/56/3182895689.jpg,146.30,209.00,http://www.awin1.com/pclick.php?p=3182895689&a=99908&m=3100,Updated
"11 of 5914 (0.19%)",12617,3100_3192197395,awin,"Label Lab kiri tote bag, Multi-Coloured","House of Fraser",http://images.productserve.com/preview/0/3100/95/73/3192197395.jpg,32.50,65.00,http://www.awin1.com/pclick.php?p=3192197395&a=99908&m=3100,Updated
"12 of 5914 (0.20%)",12616,3100_3191832625,awin,"Label Lab Kiri tote bag, Cobalt","House of Fraser",http://images.productserve.com/preview/0/3100/25/26/3191832625.jpg,32.50,65.00,http://www.awin1.com/pclick.php?p=3191832625&a=99908&m=3100,Updated
"13 of 5914 (0.22%)",12615,3100_3191409465,awin,"Label Lab Kiri tote bag, Black","House of Fraser",http://images.productserve.com/preview/0/3100/65/94/3191409465.jpg,32.50,65.00,http://www.awin1.com/pclick.php?p=3191409465&a=99908&m=3100,Updated
"14 of 5914 (0.24%)",12614,3096714123,awin,"L.k. Bennett Rosamund Medium Roll Bag, Clay",,,,,,"Not Found"
"15 of 5914 (0.25%)",12613,3100_3220632447,awin,"L.K. Bennett Lizzie lazer cut tote, White","House of Fraser",http://images.productserve.com/preview/0/3100/47/24/3220632447.jpg,325.00,0.00,http://www.awin1.com/pclick.php?p=3220632447&a=99908&m=3100,Updated
"16 of 5914 (0.27%)",12612,3100_3220632441,awin,"L.K. Bennett Lauren tote bag, Grey","House of Fraser",http://images.productserve.com/preview/0/3100/41/24/3220632441.jpg,295.00,0.00,http://www.awin1.com/pclick.php?p=3220632441&a=99908&m=3100,Updated
"17 of 5914 (0.29%)",12611,3100_3220632431,awin,"L.K. Bennett Lauren tote bag, Black","House of Fraser",http://images.productserve.com/preview/0/3100/31/24/3220632431.jpg,295.00,0.00,http://www.awin1.com/pclick.php?p=3220632431&a=99908&m=3100,Updated
"18 of 5914 (0.30%)",12610,3100_3226272653,awin,"L.K. Bennett Kelsey perforated tote bag, Yellow","House of Fraser",http://images.productserve.com/preview/0/3100/53/26/3226272653.jpg,275.00,0.00,http://www.awin1.com/pclick.php?p=3226272653&a=99908&m=3100,Updated
"19 of 5914 (0.32%)",12609,3100_3220632455,awin,"L.K. Bennett Kelsey perforated tote bag, White","House of Fraser",http://images.productserve.com/preview/0/3100/55/24/3220632455.jpg,275.00,0.00,http://www.awin1.com/pclick.php?p=3220632455&a=99908&m=3100,Updated
"20 of 5914 (0.34%)",12608,3192197683,awin,"L.k. Bennett Julia Medium Zipped Tote Bag, Light Pink",,,,,,"Not Found"
"21 of 5914 (0.36%)",12607,3100_3275747485,awin,"CC Palm Leaf Canvas Tote Bag, Black","House of Fraser",http://images.productserve.com/preview/0/3100/85/74/3275747485.jpg,49.90,0.00,http://www.awin1.com/pclick.php?p=3275747485&a=99908&m=3100,Updated
"22 of 5914 (0.37%)",12604,3100_712430456,awin,"Michael Kors Selma tote, Tan","House of Fraser",http://images.productserve.com/preview/0/3100/56/04/712430456.jpg,330.00,0.00,http://www.awin1.com/pclick.php?p=712430456&a=99908&m=3100,Updated
